auct_id	gms_greater_avg
00002	1
00010	1
00011	0
00012	0
00013	1
00016	0
00017	0
00019	1
00021	0
00023	0
00028	1
00030	0
00033	0
00034	0
00038	0
00041	0
00042	0
00044	0
00047	0
00050	0
00051	0
00053	0
00054	0
00055	0
00056	1
00057	0
00058	1
00059	0
00060	1
00062	0
00068	0
00069	0
00075	0
00077	0
00078	0
00082	1
00083	0
00088	0
00090	1
00091	1
00093	0
00094	1
00097	0
00098	0
00101	0
00102	0
00104	0
00105	1
00106	1
00107	0
00108	0
00110	1
00111	0
00113	1
00114	1
00115	0
00116	0
00119	0
00120	1
00121	0
00122	1
00124	1
00125	0
00126	0
00129	1
00132	0
00133	0
00134	0
00136	1
00139	0
00140	0
00141	1
00144	1
00147	0
00149	0
00151	0
00156	0
00158	1
00163	0
00164	1
00165	1
00166	0
00168	0
00171	0
00172	0
00175	0
00177	0
00178	0
00180	0
00181	1
00184	1
00186	0
00192	0
00195	0
00196	0
00197	0
00199	0
00201	0
00203	0
00206	0
00212	1
00214	1
00215	0
00220	0
00223	0
00228	0
00230	1
00231	0
00232	0
00233	0
00234	0
00235	0
00237	0
00238	0
00243	0
00244	0
00247	1
00252	1
00253	0
00254	0
00258	0
00260	0
00264	0
00267	0
00270	0
00273	1
00283	0
00286	0
00289	0
00291	1
00293	0
00294	0
00295	0
00297	1
00298	1
00299	0
00300	1
00301	0
00302	1
00303	0
00304	1
00305	1
00307	0
00308	1
00309	0
00310	1
00313	0
00314	0
00315	0
00316	0
00317	1
00319	0
00320	0
00325	1
00327	0
00328	0
00330	0
00333	1
00335	0
00338	0
00340	0
00345	1
00348	0
00349	1
00350	0
00352	0
00355	0
00356	0
00360	0
00361	1
00362	0
00363	0
00365	0
00366	0
00367	0
00368	1
00369	1
00371	0
00373	1
00376	0
00378	1
00380	0
00381	1
00383	1
00384	0
00385	0
00387	1
00389	0
00390	0
00394	1
00395	0
00396	0
00399	1
00400	1
00405	0
00406	1
00408	1
00409	0
00410	0
00411	1
00413	0
00414	0
00417	0
00418	1
00420	0
00423	0
00424	1
00425	1
00432	0
00433	1
00438	0
00439	1
00442	1
00446	1
00451	0
00453	1
00454	1
00456	1
00457	0
00458	1
00459	1
00461	0
00465	0
00467	0
00469	1
00471	0
00472	1
00473	1
00474	0
00475	0
00477	0
00479	0
00483	0
00484	1
00485	1
00486	1
00488	1
00490	0
00492	0
00493	0
00495	1
00496	1
00498	1
00499	0
00500	0
00504	0
00508	0
00511	1
00512	0
00514	0
00515	0
00519	0
00522	0
00523	0
00526	0
00527	0
00529	0
00531	0
00532	0
00534	0
00536	0
00537	1
00538	1
00540	1
00541	1
00542	1
00544	0
00547	0
00548	0
00551	1
00554	0
00555	0
00558	0
00561	1
00562	0
00567	0
00569	0
00571	0
00572	0
00573	0
00574	1
00576	0
00580	0
00581	0
00582	0
00583	0
00588	0
00591	1
00593	0
00594	0
00595	1
00596	0
00597	1
00598	1
00603	0
00606	1
00609	1
00610	1
00611	1
00612	0
00613	0
00614	0
00615	1
00616	0
00618	0
00626	0
00627	1
00628	0
00629	1
00631	0
00636	1
00638	0
00640	0
00641	1
00642	1
00643	0
00644	0
00645	0
00647	0
00650	0
00652	0
00654	1
00655	0
00656	0
00657	1
00659	0
00660	0
00664	1
00665	0
00666	0
00668	1
00670	1
00672	0
00675	1
00677	1
00678	1
00679	0
00680	1
00685	0
00686	0
00690	0
00691	0
00694	1
00703	1
00708	1
00709	0
00710	0
00711	0
00712	0
00713	0
00714	1
00716	0
00717	0
00721	1
00725	0
00726	1
00727	0
00729	0
00732	1
00735	1
00736	1
00737	0
00738	1
00740	0
00744	0
00745	0
00746	0
00751	0
00752	0
00753	0
00755	0
00758	0
00759	0
00760	0
00762	0
00764	0
00766	1
00768	0
00771	1
00774	1
00775	1
00776	1
00777	1
00780	1
00783	0
00787	0
00788	0
00789	0
00794	0
00795	1
00798	1
00800	1
00801	0
00802	1
00804	1
00805	1
00806	0
00807	0
00809	0
00810	1
00815	0
00820	1
00827	0
00828	0
00829	0
00831	0
00834	1
00835	0
00836	0
00837	0
00838	0
00840	0
00842	0
00843	1
00844	0
00846	0
00849	0
00850	1
00851	0
00852	0
00853	1
00856	0
00857	1
00858	1
00860	1
00861	0
00862	0
00866	0
00868	0
00870	1
00871	0
00872	1
00873	1
00874	0
00875	1
00876	0
00880	0
00886	0
00892	0
00895	1
00896	1
00897	0
00898	0
00899	1
00901	1
00904	1
00905	0
00910	0
00911	0
00912	0
00913	0
00914	0
00916	0
00923	1
00926	0
00927	0
00929	1
00933	0
00934	0
00937	0
00939	1
00940	0
00942	0
00943	1
00944	0
00946	0
00947	0
00948	1
00949	1
00950	1
00953	1
00958	0
00960	0
00962	0
00965	1
00966	1
00967	0
00969	0
00972	1
00973	1
00974	1
00975	0
00977	0
00979	1
00982	1
00983	0
00987	0
00991	0
00995	0
00996	1
00997	0
00998	0
01000	1
01001	0
01002	1
01003	1
01005	0
01006	0
01012	1
01013	0
01014	0
01015	1
01016	0
01018	0
01020	0
01023	0
01027	1
01028	0
01030	0
01033	0
01034	0
01036	0
01037	1
01042	1
01044	0
01046	0
01052	0
01053	0
01054	0
01055	1
01059	1
01060	1
01064	1
01066	0
01068	0
01069	0
01071	0
01072	0
01073	1
01074	1
01076	0
01077	0
01079	0
01080	0
01083	0
01084	0
01085	0
01086	0
01090	0
01091	1
01093	1
01094	0
01097	1
01099	0
01102	1
01106	0
01110	1
01113	1
01114	0
01115	0
01118	0
01120	0
01121	0
