"a1";"a2";"a3";"a4";"label";"id";"is_outlier"
4.6;3.1;1.5;0.2;"Iris-virginica";"id_4";"yes"
5.8;4.0;1.2;0.2;"Iris-virginica";"id_15";"yes"
5.7;4.4;1.5;0.4;"Iris-virginica";"id_16";"yes"
5.4;3.9;1.3;0.4;"Iris-virginica";"id_17";"yes"
5.7;3.8;1.7;0.3;"Iris-virginica";"id_19";"yes"
4.8;3.4;1.9;0.2;"Iris-virginica";"id_25";"yes"
4.9;3.1;1.5;0.1;"Iris-virginica";"id_35";"yes"
4.9;3.1;1.5;0.1;"Iris-virginica";"id_38";"yes"
4.4;3.0;1.3;0.2;"Iris-virginica";"id_39";"yes"
5.0;3.5;1.3;0.3;"Iris-virginica";"id_41";"yes"
5.0;3.5;1.6;0.6;"Iris-virginica";"id_44";"yes"
5.1;3.8;1.9;0.4;"Iris-virginica";"id_45";"yes"
4.8;3.0;1.4;0.3;"Iris-virginica";"id_46";"yes"
5.1;3.8;1.6;0.2;"Iris-virginica";"id_47";"yes"
4.6;3.2;1.4;0.2;"Iris-virginica";"id_48";"yes"
7.0;3.2;4.7;1.4;"Iris-versicolor";"id_51";"no"
6.4;3.2;4.5;1.5;"Iris-versicolor";"id_52";"no"
6.9;3.1;4.9;1.5;"Iris-versicolor";"id_53";"no"
6.5;2.8;4.6;1.5;"Iris-versicolor";"id_55";"no"
5.7;2.8;4.5;1.3;"Iris-versicolor";"id_56";"no"
4.9;2.4;3.3;1.0;"Iris-versicolor";"id_58";"no"
5.0;2.0;3.5;1.0;"Iris-versicolor";"id_61";"no"
5.9;3.0;4.2;1.5;"Iris-versicolor";"id_62";"no"
6.0;2.2;4.0;1.0;"Iris-versicolor";"id_63";"no"
6.1;2.9;4.7;1.4;"Iris-versicolor";"id_64";"no"
6.7;3.1;4.4;1.4;"Iris-versicolor";"id_66";"no"
5.6;3.0;4.5;1.5;"Iris-versicolor";"id_67";"no"
5.8;2.7;4.1;1.0;"Iris-versicolor";"id_68";"no"
5.6;2.5;3.9;1.1;"Iris-versicolor";"id_70";"no"
5.9;3.2;4.8;1.8;"Iris-versicolor";"id_71";"no"
6.3;2.5;4.9;1.5;"Iris-versicolor";"id_73";"no"
6.1;2.8;4.7;1.2;"Iris-versicolor";"id_74";"no"
6.6;3.0;4.4;1.4;"Iris-versicolor";"id_76";"no"
6.8;2.8;4.8;1.4;"Iris-versicolor";"id_77";"no"
